Sample Type,File Name,Sample ID,Comment,Path,Instrument Method,Process Method,Position,Inj Vol
QC,MT_20240319_005,Qstd_20240319_005,1,D:\IDX_Data\Maheshwor\Proj-122-Shuzhao-MThapa-leukemia\20240318_THP1_MOLM13_isotope_tracing\HILICneg_RPpos_20240319,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\03222022_MT_HILIC_neg_Aria_FS_60k_20min,,Y:A3,2
QC,MT_20240319_006,Qstd_20240319_006,1,D:\IDX_Data\Maheshwor\Proj-122-Shuzhao-MThapa-leukemia\20240318_THP1_MOLM13_isotope_tracing\HILICneg_RPpos_20240319,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\20220322_MT_RPpos_Aria_FS_60Kres_20min,,Y:A3,2
Unknown,MT_20240319_007,Pooled_sample_001,1,D:\IDX_Data\Maheshwor\Proj-122-Shuzhao-MThapa-leukemia\20240318_THP1_MOLM13_isotope_tracing\HILICneg_RPpos_20240319,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\03222022_MT_HILIC_neg_Aria_FS_60k_20min,,Y:A4,3
Unknown,MT_20240319_008,Pooled_sample_002,1,D:\IDX_Data\Maheshwor\Proj-122-Shuzhao-MThapa-leukemia\20240318_THP1_MOLM13_isotope_tracing\HILICneg_RPpos_20240319,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\20220322_MT_RPpos_Aria_FS_60Kres_20min,,Y:A4,3
Unknown,Pooled_samples_DDA_01,Pooled_samples_DDA_01,1,D:\IDX_Data\Maheshwor\Proj-122-Shuzhao-MThapa-leukemia\20240318_THP1_MOLM13_isotope_tracing\HILICneg_RPpos_20240319,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\03222022_MT_HILIC_neg_Aria_FS_60k_12min_DDA,,Y:A4,3
Unknown,Pooled_samples_DDA_02,Pooled_samples_DDA_02,1,D:\IDX_Data\Maheshwor\Proj-122-Shuzhao-MThapa-leukemia\20240318_THP1_MOLM13_isotope_tracing\HILICneg_RPpos_20240319,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\20220322_MT_RPpos_Aria_FS_60Kres_12min_DDA,,Y:A4,3
Unknown,MT_20240319_009,MOLM13_12C_ctrl_biorep02__001,1,D:\IDX_Data\Maheshwor\Proj-122-Shuzhao-MThapa-leukemia\20240318_THP1_MOLM13_isotope_tracing\HILICneg_RPpos_20240319,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\03222022_MT_HILIC_neg_Aria_FS_60k_20min,,Y:B1,3
Unknown,MT_20240319_010,MOLM13_12C_ctrl_biorep02__002,1,D:\IDX_Data\Maheshwor\Proj-122-Shuzhao-MThapa-leukemia\20240318_THP1_MOLM13_isotope_tracing\HILICneg_RPpos_20240319,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\20220322_MT_RPpos_Aria_FS_60Kres_20min,,Y:B1,3
Unknown,MT_20240319_011,THP1_12C_ctrl_biorep03__001,1,D:\IDX_Data\Maheshwor\Proj-122-Shuzhao-MThapa-leukemia\20240318_THP1_MOLM13_isotope_tracing\HILICneg_RPpos_20240319,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\03222022_MT_HILIC_neg_Aria_FS_60k_20min,,Y:B2,3
Unknown,MT_20240319_012,THP1_12C_ctrl_biorep03__002,1,D:\IDX_Data\Maheshwor\Proj-122-Shuzhao-MThapa-leukemia\20240318_THP1_MOLM13_isotope_tracing\HILICneg_RPpos_20240319,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\20220322_MT_RPpos_Aria_FS_60Kres_20min,,Y:B2,3
Unknown,MT_20240319_013,MOLM13_13C_2hr_biorep02__001,1,D:\IDX_Data\Maheshwor\Proj-122-Shuzhao-MThapa-leukemia\20240318_THP1_MOLM13_isotope_tracing\HILICneg_RPpos_20240319,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\03222022_MT_HILIC_neg_Aria_FS_60k_20min,,Y:B3,3
Unknown,MT_20240319_014,MOLM13_13C_2hr_biorep02__002,1,D:\IDX_Data\Maheshwor\Proj-122-Shuzhao-MThapa-leukemia\20240318_THP1_MOLM13_isotope_tracing\HILICneg_RPpos_20240319,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\20220322_MT_RPpos_Aria_FS_60Kres_20min,,Y:B3,3
Unknown,MT_20240319_015,MOLM13_12C_ctrl_biorep03__001,1,D:\IDX_Data\Maheshwor\Proj-122-Shuzhao-MThapa-leukemia\20240318_THP1_MOLM13_isotope_tracing\HILICneg_RPpos_20240319,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\03222022_MT_HILIC_neg_Aria_FS_60k_20min,,Y:B4,3
Unknown,MT_20240319_016,MOLM13_12C_ctrl_biorep03__002,1,D:\IDX_Data\Maheshwor\Proj-122-Shuzhao-MThapa-leukemia\20240318_THP1_MOLM13_isotope_tracing\HILICneg_RPpos_20240319,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\20220322_MT_RPpos_Aria_FS_60Kres_20min,,Y:B4,3
Unknown,MT_20240319_017,MOLM13_13C_12hr_biorep03__001,1,D:\IDX_Data\Maheshwor\Proj-122-Shuzhao-MThapa-leukemia\20240318_THP1_MOLM13_isotope_tracing\HILICneg_RPpos_20240319,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\03222022_MT_HILIC_neg_Aria_FS_60k_20min,,Y:B5,3
Unknown,MT_20240319_018,MOLM13_13C_12hr_biorep03__002,1,D:\IDX_Data\Maheshwor\Proj-122-Shuzhao-MThapa-leukemia\20240318_THP1_MOLM13_isotope_tracing\HILICneg_RPpos_20240319,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\20220322_MT_RPpos_Aria_FS_60Kres_20min,,Y:B5,3
Unknown,MT_20240319_019,THP1_13C_2hr_biorep01__001,1,D:\IDX_Data\Maheshwor\Proj-122-Shuzhao-MThapa-leukemia\20240318_THP1_MOLM13_isotope_tracing\HILICneg_RPpos_20240319,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\03222022_MT_HILIC_neg_Aria_FS_60k_20min,,Y:B6,3
Unknown,MT_20240319_020,THP1_13C_2hr_biorep01__002,1,D:\IDX_Data\Maheshwor\Proj-122-Shuzhao-MThapa-leukemia\20240318_THP1_MOLM13_isotope_tracing\HILICneg_RPpos_20240319,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\20220322_MT_RPpos_Aria_FS_60Kres_20min,,Y:B6,3
Unknown,MT_20240319_021,MOLM13_13C_6hr_biorep03__001,1,D:\IDX_Data\Maheshwor\Proj-122-Shuzhao-MThapa-leukemia\20240318_THP1_MOLM13_isotope_tracing\HILICneg_RPpos_20240319,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\03222022_MT_HILIC_neg_Aria_FS_60k_20min,,Y:B7,3
Unknown,MT_20240319_022,MOLM13_13C_6hr_biorep03__002,1,D:\IDX_Data\Maheshwor\Proj-122-Shuzhao-MThapa-leukemia\20240318_THP1_MOLM13_isotope_tracing\HILICneg_RPpos_20240319,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\20220322_MT_RPpos_Aria_FS_60Kres_20min,,Y:B7,3
Unknown,MT_20240319_023,THP1_13C_6hr_biorep01__001,1,D:\IDX_Data\Maheshwor\Proj-122-Shuzhao-MThapa-leukemia\20240318_THP1_MOLM13_isotope_tracing\HILICneg_RPpos_20240319,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\03222022_MT_HILIC_neg_Aria_FS_60k_20min,,Y:B8,3
Unknown,MT_20240319_024,THP1_13C_6hr_biorep01__002,1,D:\IDX_Data\Maheshwor\Proj-122-Shuzhao-MThapa-leukemia\20240318_THP1_MOLM13_isotope_tracing\HILICneg_RPpos_20240319,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\20220322_MT_RPpos_Aria_FS_60Kres_20min,,Y:B8,3
Unknown,MT_20240319_025,THP1_13C_12hr_biorep01__001,1,D:\IDX_Data\Maheshwor\Proj-122-Shuzhao-MThapa-leukemia\20240318_THP1_MOLM13_isotope_tracing\HILICneg_RPpos_20240319,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\03222022_MT_HILIC_neg_Aria_FS_60k_20min,,Y:B9,3
Unknown,MT_20240319_026,THP1_13C_12hr_biorep01__002,1,D:\IDX_Data\Maheshwor\Proj-122-Shuzhao-MThapa-leukemia\20240318_THP1_MOLM13_isotope_tracing\HILICneg_RPpos_20240319,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\20220322_MT_RPpos_Aria_FS_60Kres_20min,,Y:B9,3
Unknown,MT_20240319_027,MOLM13_12C_ctrl_biorep01__001,1,D:\IDX_Data\Maheshwor\Proj-122-Shuzhao-MThapa-leukemia\20240318_THP1_MOLM13_isotope_tracing\HILICneg_RPpos_20240319,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\03222022_MT_HILIC_neg_Aria_FS_60k_20min,,Y:C1,3
Unknown,MT_20240319_028,MOLM13_12C_ctrl_biorep01__002,1,D:\IDX_Data\Maheshwor\Proj-122-Shuzhao-MThapa-leukemia\20240318_THP1_MOLM13_isotope_tracing\HILICneg_RPpos_20240319,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\20220322_MT_RPpos_Aria_FS_60Kres_20min,,Y:C1,3
Unknown,MT_20240319_029,Pooled_sample_003,1,D:\IDX_Data\Maheshwor\Proj-122-Shuzhao-MThapa-leukemia\20240318_THP1_MOLM13_isotope_tracing\HILICneg_RPpos_20240319,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\03222022_MT_HILIC_neg_Aria_FS_60k_20min,,Y:A4,3
Unknown,MT_20240319_030,Pooled_sample_004,1,D:\IDX_Data\Maheshwor\Proj-122-Shuzhao-MThapa-leukemia\20240318_THP1_MOLM13_isotope_tracing\HILICneg_RPpos_20240319,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\20220322_MT_RPpos_Aria_FS_60Kres_20min,,Y:A4,3
Unknown,MT_20240319_031,THP1_13C_6hr_biorep02__001,1,D:\IDX_Data\Maheshwor\Proj-122-Shuzhao-MThapa-leukemia\20240318_THP1_MOLM13_isotope_tracing\HILICneg_RPpos_20240319,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\03222022_MT_HILIC_neg_Aria_FS_60k_20min,,Y:C2,3
Unknown,MT_20240319_032,THP1_13C_6hr_biorep02__002,1,D:\IDX_Data\Maheshwor\Proj-122-Shuzhao-MThapa-leukemia\20240318_THP1_MOLM13_isotope_tracing\HILICneg_RPpos_20240319,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\20220322_MT_RPpos_Aria_FS_60Kres_20min,,Y:C2,3
Unknown,MT_20240319_033,THP1_13C_12hr_biorep03__001,1,D:\IDX_Data\Maheshwor\Proj-122-Shuzhao-MThapa-leukemia\20240318_THP1_MOLM13_isotope_tracing\HILICneg_RPpos_20240319,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\03222022_MT_HILIC_neg_Aria_FS_60k_20min,,Y:C3,3
Unknown,MT_20240319_034,THP1_13C_12hr_biorep03__002,1,D:\IDX_Data\Maheshwor\Proj-122-Shuzhao-MThapa-leukemia\20240318_THP1_MOLM13_isotope_tracing\HILICneg_RPpos_20240319,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\20220322_MT_RPpos_Aria_FS_60Kres_20min,,Y:C3,3
Unknown,MT_20240319_035,MOLM13_13C_6hr_biorep02__001,1,D:\IDX_Data\Maheshwor\Proj-122-Shuzhao-MThapa-leukemia\20240318_THP1_MOLM13_isotope_tracing\HILICneg_RPpos_20240319,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\03222022_MT_HILIC_neg_Aria_FS_60k_20min,,Y:C4,3
Unknown,MT_20240319_036,MOLM13_13C_6hr_biorep02__002,1,D:\IDX_Data\Maheshwor\Proj-122-Shuzhao-MThapa-leukemia\20240318_THP1_MOLM13_isotope_tracing\HILICneg_RPpos_20240319,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\20220322_MT_RPpos_Aria_FS_60Kres_20min,,Y:C4,3
Unknown,MT_20240319_037,MOLM13_13C_6hr_biorep01__001,1,D:\IDX_Data\Maheshwor\Proj-122-Shuzhao-MThapa-leukemia\20240318_THP1_MOLM13_isotope_tracing\HILICneg_RPpos_20240319,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\03222022_MT_HILIC_neg_Aria_FS_60k_20min,,Y:C5,3
Unknown,MT_20240319_038,MOLM13_13C_6hr_biorep01__002,1,D:\IDX_Data\Maheshwor\Proj-122-Shuzhao-MThapa-leukemia\20240318_THP1_MOLM13_isotope_tracing\HILICneg_RPpos_20240319,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\20220322_MT_RPpos_Aria_FS_60Kres_20min,,Y:C5,3
Unknown,MT_20240319_039,MOLM13_13C_12hr_biorep02__001,1,D:\IDX_Data\Maheshwor\Proj-122-Shuzhao-MThapa-leukemia\20240318_THP1_MOLM13_isotope_tracing\HILICneg_RPpos_20240319,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\03222022_MT_HILIC_neg_Aria_FS_60k_20min,,Y:C6,3
Unknown,MT_20240319_040,MOLM13_13C_12hr_biorep02__002,1,D:\IDX_Data\Maheshwor\Proj-122-Shuzhao-MThapa-leukemia\20240318_THP1_MOLM13_isotope_tracing\HILICneg_RPpos_20240319,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\20220322_MT_RPpos_Aria_FS_60Kres_20min,,Y:C6,3
Unknown,MT_20240319_041,THP1_13C_6hr_biorep03__001,1,D:\IDX_Data\Maheshwor\Proj-122-Shuzhao-MThapa-leukemia\20240318_THP1_MOLM13_isotope_tracing\HILICneg_RPpos_20240319,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\03222022_MT_HILIC_neg_Aria_FS_60k_20min,,Y:C7,3
Unknown,MT_20240319_042,THP1_13C_6hr_biorep03__002,1,D:\IDX_Data\Maheshwor\Proj-122-Shuzhao-MThapa-leukemia\20240318_THP1_MOLM13_isotope_tracing\HILICneg_RPpos_20240319,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\20220322_MT_RPpos_Aria_FS_60Kres_20min,,Y:C7,3
Unknown,MT_20240319_043,MOLM13_13C_2hr_biorep01__001,1,D:\IDX_Data\Maheshwor\Proj-122-Shuzhao-MThapa-leukemia\20240318_THP1_MOLM13_isotope_tracing\HILICneg_RPpos_20240319,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\03222022_MT_HILIC_neg_Aria_FS_60k_20min,,Y:C8,3
Unknown,MT_20240319_044,MOLM13_13C_2hr_biorep01__002,1,D:\IDX_Data\Maheshwor\Proj-122-Shuzhao-MThapa-leukemia\20240318_THP1_MOLM13_isotope_tracing\HILICneg_RPpos_20240319,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\20220322_MT_RPpos_Aria_FS_60Kres_20min,,Y:C8,3
Unknown,MT_20240319_045,THP1_13C_2hr_biorep03__001,1,D:\IDX_Data\Maheshwor\Proj-122-Shuzhao-MThapa-leukemia\20240318_THP1_MOLM13_isotope_tracing\HILICneg_RPpos_20240319,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\03222022_MT_HILIC_neg_Aria_FS_60k_20min,,Y:C9,3
Unknown,MT_20240319_046,THP1_13C_2hr_biorep03__002,1,D:\IDX_Data\Maheshwor\Proj-122-Shuzhao-MThapa-leukemia\20240318_THP1_MOLM13_isotope_tracing\HILICneg_RPpos_20240319,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\20220322_MT_RPpos_Aria_FS_60Kres_20min,,Y:C9,3
Unknown,MT_20240319_047,THP1_12C_ctrl_biorep01__001,1,D:\IDX_Data\Maheshwor\Proj-122-Shuzhao-MThapa-leukemia\20240318_THP1_MOLM13_isotope_tracing\HILICneg_RPpos_20240319,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\03222022_MT_HILIC_neg_Aria_FS_60k_20min,,Y:D1,3
Unknown,MT_20240319_048,THP1_12C_ctrl_biorep01__002,1,D:\IDX_Data\Maheshwor\Proj-122-Shuzhao-MThapa-leukemia\20240318_THP1_MOLM13_isotope_tracing\HILICneg_RPpos_20240319,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\20220322_MT_RPpos_Aria_FS_60Kres_20min,,Y:D1,3
Unknown,MT_20240319_049,THP1_13C_12hr_biorep02__001,1,D:\IDX_Data\Maheshwor\Proj-122-Shuzhao-MThapa-leukemia\20240318_THP1_MOLM13_isotope_tracing\HILICneg_RPpos_20240319,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\03222022_MT_HILIC_neg_Aria_FS_60k_20min,,Y:D2,3
Unknown,MT_20240319_050,THP1_13C_12hr_biorep02__002,1,D:\IDX_Data\Maheshwor\Proj-122-Shuzhao-MThapa-leukemia\20240318_THP1_MOLM13_isotope_tracing\HILICneg_RPpos_20240319,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\20220322_MT_RPpos_Aria_FS_60Kres_20min,,Y:D2,3
Unknown,MT_20240319_051,Pooled_sample_005,1,D:\IDX_Data\Maheshwor\Proj-122-Shuzhao-MThapa-leukemia\20240318_THP1_MOLM13_isotope_tracing\HILICneg_RPpos_20240319,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\03222022_MT_HILIC_neg_Aria_FS_60k_20min,,Y:A4,3
Unknown,MT_20240319_052,Pooled_sample_006,1,D:\IDX_Data\Maheshwor\Proj-122-Shuzhao-MThapa-leukemia\20240318_THP1_MOLM13_isotope_tracing\HILICneg_RPpos_20240319,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\20220322_MT_RPpos_Aria_FS_60Kres_20min,,Y:A4,3
Unknown,MT_20240319_053,MOLM13_13C_12hr_biorep01__001,1,D:\IDX_Data\Maheshwor\Proj-122-Shuzhao-MThapa-leukemia\20240318_THP1_MOLM13_isotope_tracing\HILICneg_RPpos_20240319,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\03222022_MT_HILIC_neg_Aria_FS_60k_20min,,Y:D3,3
Unknown,MT_20240319_054,MOLM13_13C_12hr_biorep01__002,1,D:\IDX_Data\Maheshwor\Proj-122-Shuzhao-MThapa-leukemia\20240318_THP1_MOLM13_isotope_tracing\HILICneg_RPpos_20240319,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\20220322_MT_RPpos_Aria_FS_60Kres_20min,,Y:D3,3
Unknown,MT_20240319_055,THP1_13C_2hr_biorep02__001,1,D:\IDX_Data\Maheshwor\Proj-122-Shuzhao-MThapa-leukemia\20240318_THP1_MOLM13_isotope_tracing\HILICneg_RPpos_20240319,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\03222022_MT_HILIC_neg_Aria_FS_60k_20min,,Y:D4,3
Unknown,MT_20240319_056,THP1_13C_2hr_biorep02__002,1,D:\IDX_Data\Maheshwor\Proj-122-Shuzhao-MThapa-leukemia\20240318_THP1_MOLM13_isotope_tracing\HILICneg_RPpos_20240319,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\20220322_MT_RPpos_Aria_FS_60Kres_20min,,Y:D4,3
Unknown,MT_20240319_057,THP1_12C_ctrl_biorep02__001,1,D:\IDX_Data\Maheshwor\Proj-122-Shuzhao-MThapa-leukemia\20240318_THP1_MOLM13_isotope_tracing\HILICneg_RPpos_20240319,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\03222022_MT_HILIC_neg_Aria_FS_60k_20min,,Y:D5,3
Unknown,MT_20240319_058,THP1_12C_ctrl_biorep02__002,1,D:\IDX_Data\Maheshwor\Proj-122-Shuzhao-MThapa-leukemia\20240318_THP1_MOLM13_isotope_tracing\HILICneg_RPpos_20240319,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\20220322_MT_RPpos_Aria_FS_60Kres_20min,,Y:D5,3
Unknown,MT_20240319_059,MOLM13_13C_2hr_biorep03__001,1,D:\IDX_Data\Maheshwor\Proj-122-Shuzhao-MThapa-leukemia\20240318_THP1_MOLM13_isotope_tracing\HILICneg_RPpos_20240319,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\03222022_MT_HILIC_neg_Aria_FS_60k_20min,,Y:D6,3
Unknown,MT_20240319_060,MOLM13_13C_2hr_biorep03__002,1,D:\IDX_Data\Maheshwor\Proj-122-Shuzhao-MThapa-leukemia\20240318_THP1_MOLM13_isotope_tracing\HILICneg_RPpos_20240319,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\20220322_MT_RPpos_Aria_FS_60Kres_20min,,Y:D6,3
Unknown,MT_20240319_061,Pooled_sample_007,1,D:\IDX_Data\Maheshwor\Proj-122-Shuzhao-MThapa-leukemia\20240318_THP1_MOLM13_isotope_tracing\HILICneg_RPpos_20240319,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\03222022_MT_HILIC_neg_Aria_FS_60k_20min,,Y:A4,3
Unknown,MT_20240319_062,Pooled_sample_008,1,D:\IDX_Data\Maheshwor\Proj-122-Shuzhao-MThapa-leukemia\20240318_THP1_MOLM13_isotope_tracing\HILICneg_RPpos_20240319,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\20220322_MT_RPpos_Aria_FS_60Kres_20min,,Y:A4,3
QC,MT_20240319_063,Qstd_20240319_007,1,D:\IDX_Data\Maheshwor\Proj-122-Shuzhao-MThapa-leukemia\20240318_THP1_MOLM13_isotope_tracing\HILICneg_RPpos_20240319,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\03222022_MT_HILIC_neg_Aria_FS_60k_20min,,Y:A3,2
QC,MT_20240319_064,Qstd_20240319_008,1,D:\IDX_Data\Maheshwor\Proj-122-Shuzhao-MThapa-leukemia\20240318_THP1_MOLM13_isotope_tracing\HILICneg_RPpos_20240319,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\20220322_MT_RPpos_Aria_FS_60Kres_20min,,Y:A3,2
Blank,ProcessBlank_20240319_005,ProcessBlank_20240319_005,1,D:\IDX_Data\Maheshwor\Proj-122-Shuzhao-MThapa-leukemia\20240318_THP1_MOLM13_isotope_tracing\HILICneg_RPpos_20240319,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\03222022_MT_HILIC_neg_Aria_FS_60k_20min,,Y:A1,3
Blank,ProcessBlank_20240319_006,ProcessBlank_20240319_006,1,D:\IDX_Data\Maheshwor\Proj-122-Shuzhao-MThapa-leukemia\20240318_THP1_MOLM13_isotope_tracing\HILICneg_RPpos_20240319,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\20220322_MT_RPpos_Aria_FS_60Kres_20min,,Y:A1,3
